Time - u2	Amplitude - u2	Time - f2	Amplitude - f2	
0	7	0	1	
0,1	7	0,1	1,02	
0,2	7	0,2	1,039	
0,3	7	0,3	1,057	
0,4	7	0,4	1,074	
0,5	7	0,5	1,09	
0,6	7	0,6	1,106	
0,7	7	0,7	1,121	
0,8	7	0,8	1,135	
0,9	7	0,9	1,148	
1	7	1	1,161	
1,1	7	1,1	1,172	
1,2	7	1,2	1,184	
1,3	7	1,3	1,195	
1,4	7	1,4	1,205	
1,5	7	1,5	1,215	
1,6	7	1,6	1,224	
1,7	7	1,7	1,233	
1,8	7	1,8	1,241	
1,9	7	1,9	1,249	
2	7	2	1,257	
2,1	7	2,1	1,264	
2,2	7	2,2	1,271	
2,3	7	2,3	1,277	
2,4	7	2,4	1,283	
2,5	7	2,5	1,289	
2,6	7	2,6	1,295	
2,7	7	2,7	1,3	
2,8	7	2,8	1,305	
2,9	7	2,9	1,31	
3	7	3	1,314	
3,1	7	3,1	1,318	
3,2	7	3,2	1,323	
3,3	7	3,3	1,326	
3,4	7	3,4	1,33	
3,5	7	3,5	1,334	
3,6	7	3,6	1,337	
3,7	7	3,7	1,34	
3,8	7	3,8	1,343	
3,9	7	3,9	1,346	
4	7	4	1,349	
4,1	7	4,1	1,351	
4,2	7	4,2	1,354	
4,3	7	4,3	1,356	
4,4	7	4,4	1,358	
4,5	7	4,5	1,36	
4,6	7	4,6	1,362	
4,7	7	4,7	1,364	
4,8	7	4,8	1,366	
4,9	7	4,9	1,368	
5	7	5	1,369	
5,1	7	5,1	1,371	
5,2	7	5,2	1,372	
5,3	7	5,3	1,374	
5,4	7	5,4	1,375	
5,5	7	5,5	1,376	
5,6	7	5,6	1,377	
5,7	7	5,7	1,379	
5,8	7	5,8	1,38	
5,9	7	5,9	1,381	
6	7	6	1,382	
6,1	7	6,1	1,382	
6,2	7	6,2	1,383	
6,3	7	6,3	1,384	
6,4	7	6,4	1,385	
6,5	7	6,5	1,386	
6,6	7	6,6	1,386	
6,7	7	6,7	1,387	
6,8	7	6,8	1,388	
6,9	7	6,9	1,388	
7	7	7	1,389	
7,1	7	7,1	1,39	
7,2	7	7,2	1,39	
7,3	7	7,3	1,391	
7,4	7	7,4	1,391	
7,5	7	7,5	1,391	
7,6	7	7,6	1,392	
7,7	7	7,7	1,392	
7,8	7	7,8	1,393	
7,9	7	7,9	1,393	
8	7	8	1,393	
8,1	7	8,1	1,394	
8,2	7	8,2	1,394	
8,3	7	8,3	1,394	
8,4	7	8,4	1,395	
8,5	7	8,5	1,395	
8,6	7	8,6	1,395	
8,7	7	8,7	1,395	
8,8	7	8,8	1,396	
8,9	7	8,9	1,396	
9	7	9	1,396	
9,1	7	9,1	1,396	
9,2	7	9,2	1,396	
9,3	7	9,3	1,397	
9,4	7	9,4	1,397	
9,5	7	9,5	1,397	
9,6	7	9,6	1,397	
9,7	7	9,7	1,397	
9,8	7	9,8	1,397	
9,9	7	9,9	1,398	
10	7	10	1,398	
10,1	7	10,1	1,398	
10,2	7	10,2	1,398	
10,3	7	10,3	1,398	
10,4	7	10,4	1,398	
10,5	7	10,5	1,398	
10,6	7	10,6	1,398	
10,7	7	10,7	1,398	
10,8	7	10,8	1,398	
10,9	7	10,9	1,399	
11	7	11	1,399	
11,1	7	11,1	1,399	
11,2	7	11,2	1,399	
11,3	7	11,3	1,399	
11,4	7	11,4	1,399	
11,5	7	11,5	1,399	
11,6	7	11,6	1,399	
11,7	7	11,7	1,399	
11,8	7	11,8	1,399	
11,9	7	11,9	1,399	
12	7	12	1,399	
12,1	7	12,1	1,399	
12,2	7	12,2	1,399	
12,3	7	12,3	1,399	
12,4	7	12,4	1,399	
12,5	7	12,5	1,399	
12,6	7	12,6	1,399	
12,7	7	12,7	1,399	
12,8	7	12,8	1,399	
12,9	7	12,9	1,399	
13	7	13	1,399	
13,1	7	13,1	1,4	
13,2	7	13,2	1,4	
13,3	7	13,3	1,4	
13,4	7	13,4	1,4	
13,5	7	13,5	1,4	
13,6	7	13,6	1,4	
13,7	7	13,7	1,4	
13,8	7	13,8	1,4	
13,9	7	13,9	1,4	
14	7	14	1,4	
14,1	7	14,1	1,4	
14,2	7	14,2	1,4	
14,3	7	14,3	1,4	
14,4	7	14,4	1,4	
14,5	7	14,5	1,4	
14,6	7	14,6	1,4	
14,7	7	14,7	1,4	
14,8	7	14,8	1,4	
14,9	7	14,9	1,4	
15	7	15	1,4	
15,1	7	15,1	1,4	
15,2	7	15,2	1,4	
15,3	7	15,3	1,4	
15,4	7	15,4	1,4	
15,5	7	15,5	1,4	
15,6	7	15,6	1,4	
15,7	7	15,7	1,4	
15,8	7	15,8	1,4	
15,9	7	15,9	1,4	
16	7	16	1,4	
16,1	7	16,1	1,4	
16,2	7	16,2	1,4	
16,3	7	16,3	1,4	
16,4	7	16,4	1,4	
16,5	7	16,5	1,4	
16,6	7	16,6	1,4	
16,7	7	16,7	1,4	
16,8	7	16,8	1,4	
16,9	7	16,9	1,4	
17	7	17	1,4	
17,1	7	17,1	1,4	
17,2	7	17,2	1,4	
17,3	7	17,3	1,4	
17,4	7	17,4	1,4	
17,5	7	17,5	1,4	
17,6	7	17,6	1,4	
17,7	7	17,7	1,4	
17,8	7	17,8	1,4	
17,9	7	17,9	1,4	
18	7	18	1,4	
18,1	7	18,1	1,4	
18,2	7	18,2	1,4	
18,3	7	18,3	1,4	
18,4	7	18,4	1,4	
18,5	7	18,5	1,4	
18,6	7	18,6	1,4	
18,7	7	18,7	1,4	
18,8	7	18,8	1,4	
18,9	7	18,9	1,4	
19	7	19	1,4	
19,1	7	19,1	1,4	
19,2	7	19,2	1,4	
19,3	7	19,3	1,4	
19,4	7	19,4	1,4	
19,5	7	19,5	1,4	
19,6	7	19,6	1,4	
19,7	7	19,7	1,4	
19,8	7	19,8	1,4	
19,9	7	19,9	1,4	
20	7	20	1,4	
20,1	7	20,1	1,4	
20,2	7	20,2	1,4	
20,3	7	20,3	1,4	
20,4	7	20,4	1,4	
20,5	7	20,5	1,4	
20,6	7	20,6	1,4	
20,7	7	20,7	1,4	
20,8	7	20,8	1,4	
20,9	7	20,9	1,4	
21	7	21	1,4	
21,1	7	21,1	1,4	
21,2	7	21,2	1,4	
21,3	7	21,3	1,4	
21,4	7	21,4	1,4	
21,5	7	21,5	1,4	
21,6	7	21,6	1,4	
21,7	7	21,7	1,4	
21,8	7	21,8	1,4	
21,9	7	21,9	1,4	
22	7	22	1,4	
22,1	7	22,1	1,4	
22,2	7	22,2	1,4	
22,3	7	22,3	1,4	
22,4	7	22,4	1,4	
22,5	7	22,5	1,4	
22,6	7	22,6	1,4	
22,7	7	22,7	1,4	
22,8	7	22,8	1,4	
22,9	7	22,9	1,4	
23	7	23	1,4	
23,1	7	23,1	1,4	
23,2	7	23,2	1,4	
23,3	7	23,3	1,4	
23,4	7	23,4	1,4	
23,5	7	23,5	1,4	
23,6	7	23,6	1,4	
23,7	7	23,7	1,4	
23,8	7	23,8	1,4	
23,9	7	23,9	1,4	
24	7	24	1,4	
24,1	7	24,1	1,4	
24,2	7	24,2	1,4	
24,3	7	24,3	1,4	
24,4	7	24,4	1,4	
24,5	7	24,5	1,4	
24,6	7	24,6	1,4	
24,7	7	24,7	1,4	
24,8	7	24,8	1,4	
24,9	7	24,9	1,4	
25	7	25	1,4	
25,1	7	25,1	1,4	
25,2	7	25,2	1,4	
25,3	7	25,3	1,4	
25,4	7	25,4	1,4	
25,5	7	25,5	1,4	
25,6	7	25,6	1,4	
25,7	7	25,7	1,4	
25,8	7	25,8	1,4	
25,9	7	25,9	1,4	
26	7	26	1,4	
26,1	7	26,1	1,4	
26,2	7	26,2	1,4	
26,3	7	26,3	1,4	
26,4	7	26,4	1,4	
26,5	7	26,5	1,4	
26,6	7	26,6	1,4	
26,7	7	26,7	1,4	
26,8	7	26,8	1,4	
26,9	7	26,9	1,4	
27	7	27	1,4	
27,1	7	27,1	1,4	
27,2	7	27,2	1,4	
27,3	7	27,3	1,4	
27,4	7	27,4	1,4	
27,5	7	27,5	1,4	
27,6	7	27,6	1,4	
27,7	7	27,7	1,4	
27,8	7	27,8	1,4	
27,9	7	27,9	1,4	
28	7	28	1,4	
28,1	7	28,1	1,4	
28,2	7	28,2	1,4	
28,3	7	28,3	1,4	
28,4	7	28,4	1,4	
28,5	7	28,5	1,4	
28,6	7	28,6	1,4	
28,7	7	28,7	1,4	
28,8	7	28,8	1,4	
28,9	7	28,9	1,4	
29	7	29	1,4	
29,1	7	29,1	1,4	
29,2	7	29,2	1,4	
29,3	7	29,3	1,4	
29,4	7	29,4	1,4	
29,5	7	29,5	1,4	
29,6	7	29,6	1,4	
29,7	7	29,7	1,4	
29,8	7	29,8	1,4	
29,9	7	29,9	1,4	
30	7	30	1,4	
30,1	7	30,1	1,4	
30,2	7	30,2	1,4	
30,3	7	30,3	1,4	
30,4	7	30,4	1,4	
30,5	7	30,5	1,4	
30,6	7	30,6	1,4	
30,7	7	30,7	1,4	
30,8	7	30,8	1,4	
30,9	7	30,9	1,4	
