Time - h(t),Amplitude - h(t),
0,5,
0.1,5.01,
0.2,5.02,
0.3,5.03,
0.4,5.039,
0.5,5.049,
0.6,5.059,
0.7,5.068,
0.8,5.077,
0.9,5.087,
1,5.096,
1.1,5.105,
1.2,5.114,
1.3,5.123,
1.4,5.132,
1.5,5.141,
1.6,5.15,
1.7,5.158,
1.8,5.167,
1.9,5.175,
2,5.184,
2.1,5.192,
2.2,5.2,
2.3,5.209,
2.4,5.217,
2.5,5.225,
2.6,5.233,
2.7,5.241,
2.8,5.249,
2.9,5.256,
3,5.264,
3.1,5.272,
3.2,5.279,
3.3,5.287,
3.4,5.294,
3.5,5.302,
3.6,5.309,
3.7,5.316,
3.8,5.323,
3.9,5.331,
4,5.338,
4.1,5.345,
4.2,5.352,
4.3,5.358,
4.4,5.365,
4.5,5.372,
4.6,5.379,
4.7,5.385,
4.8,5.392,
4.9,5.398,
5,5.405,
5.1,5.411,
5.2,5.418,
5.3,5.424,
5.4,5.43,
5.5,5.436,
5.6,5.443,
5.7,5.449,
5.8,5.455,
5.9,5.461,
6,5.467,
6.1,5.473,
6.2,5.478,
6.3,5.484,
6.4,5.49,
6.5,5.496,
6.6,5.501,
6.7,5.507,
6.8,5.512,
6.9,5.518,
7,5.523,
7.1,5.529,
7.2,5.534,
7.3,5.539,
7.4,5.545,
7.5,5.55,
7.6,5.555,
7.7,5.56,
7.8,5.565,
7.9,5.57,
8,5.575,
8.1,5.58,
8.2,5.585,
8.3,5.59,
8.4,5.595,
8.5,5.6,
8.6,5.604,
8.7,5.609,
8.8,5.614,
8.9,5.618,
9,5.623,
9.1,5.628,
9.2,5.632,
9.3,5.637,
9.4,5.641,
9.5,5.645,
9.6,5.65,
9.7,5.654,
9.8,5.658,
9.9,5.663,
10,5.667,
10.1,5.671,
10.2,5.675,
10.3,5.679,
10.4,5.683,
10.5,5.687,
10.6,5.691,
10.7,5.695,
10.8,5.699,
10.9,5.703,
11,5.707,
11.1,5.711,
11.2,5.715,
11.3,5.718,
11.4,5.722,
11.5,5.726,
11.6,5.73,
11.7,5.733,
11.8,5.737,
11.9,5.74,
12,5.744,
12.1,5.748,
12.2,5.751,
12.3,5.754,
12.4,5.758,
12.5,5.761,
12.6,5.765,
12.7,5.768,
12.8,5.771,
12.9,5.775,
13,5.778,
13.1,5.781,
13.2,5.784,
13.3,5.788,
13.4,5.791,
13.5,5.794,
13.6,5.797,
13.7,5.8,
13.8,5.803,
13.9,5.806,
14,5.809,
14.1,5.812,
14.2,5.815,
14.3,5.818,
14.4,5.821,
14.5,5.824,
14.6,5.827,
14.7,5.83,
14.8,5.832,
14.9,5.835,
15,5.838,
15.1,5.841,
15.2,5.843,
15.3,5.846,
15.4,5.849,
15.5,5.851,
15.6,5.854,
15.7,5.857,
15.8,5.859,
15.9,5.862,
16,5.864,
16.1,5.867,
16.2,5.869,
16.3,5.872,
16.4,5.874,
16.5,5.877,
16.6,5.879,
16.7,5.882,
16.8,5.884,
16.9,5.886,
17,5.889,
17.1,5.891,
17.2,5.893,
17.3,5.896,
17.4,5.898,
17.5,5.9,
17.6,5.902,
17.7,5.905,
17.8,5.907,
17.9,5.909,
18,5.911,
18.1,5.913,
18.2,5.915,
18.3,5.917,
18.4,5.919,
18.5,5.922,
18.6,5.924,
18.7,5.926,
18.8,5.928,
18.9,5.93,
19,5.932,
19.1,5.934,
19.2,5.936,
19.3,5.937,
19.4,5.939,
19.5,5.941,
19.6,5.943,
19.7,5.945,
19.8,5.947,
19.9,5.949,
20,5.951,
20.1,5.952,
20.2,5.954,
20.3,5.956,
20.4,5.958,
20.5,5.959,
20.6,5.961,
20.7,5.963,
20.8,5.965,
20.9,5.966,
21,5.968,
21.1,5.97,
21.2,5.971,
21.3,5.973,
21.4,5.975,
21.5,5.976,
21.6,5.978,
21.7,5.979,
21.8,5.981,
21.9,5.982,
22,5.984,
22.1,5.986,
22.2,5.987,
22.3,5.989,
22.4,5.99,
22.5,5.992,
22.6,5.993,
22.7,5.995,
22.8,5.996,
22.9,5.997,
23,5.999,
23.1,6,
23.2,6.002,
23.3,6.003,
23.4,6.004,
23.5,6.006,
23.6,6.007,
23.7,6.008,
23.8,6.01,
23.9,6.011,
24,6.012,
24.1,6.014,
24.2,6.015,
24.3,6.016,
24.4,6.018,
24.5,6.019,
24.6,6.02,
24.7,6.021,
24.8,6.023,
24.9,6.024,
25,6.025,
25.1,6.026,
25.2,6.027,
25.3,6.029,
25.4,6.03,
25.5,6.031,
25.6,6.032,
25.7,6.033,
25.8,6.034,
25.9,6.035,
26,6.036,
26.1,6.038,
26.2,6.039,
26.3,6.04,
26.4,6.041,
26.5,6.042,
26.6,6.043,
26.7,6.044,
26.8,6.045,
26.9,6.046,
27,6.047,
27.1,6.048,
27.2,6.049,
27.3,6.05,
27.4,6.051,
27.5,6.052,
27.6,6.053,
27.7,6.054,
27.8,6.055,
27.9,6.056,
28,6.057,
28.1,6.058,
28.2,6.059,
28.3,6.06,
28.4,6.061,
28.5,6.062,
28.6,6.062,
28.7,6.063,
28.8,6.064,
28.9,6.065,
29,6.066,
29.1,6.067,
29.2,6.068,
29.3,6.068,
29.4,6.069,
29.5,6.07,
29.6,6.071,
29.7,6.072,
29.8,6.073,
29.9,6.073,
30,6.074,
30.1,6.075,
30.2,6.076,
30.3,6.077,
30.4,6.077,
30.5,6.078,
30.6,6.079,
30.7,6.08,
30.8,6.08,
30.9,6.081,
31,6.082,
31.1,6.083,
31.2,6.083,
31.3,6.084,
31.4,6.085,
31.5,6.085,
31.6,6.086,
31.7,6.087,
31.8,6.088,
31.9,6.088,
32,6.089,
32.1,6.09,
32.2,6.09,
32.3,6.091,
32.4,6.092,
32.5,6.092,
32.6,6.093,
32.7,6.094,
32.8,6.094,
32.9,6.095,
33,6.095,
33.1,6.096,
33.2,6.097,
33.3,6.097,
33.4,6.098,
33.5,6.098,
33.6,6.099,
33.7,6.1,
33.8,6.1,
33.9,6.101,
34,6.101,
34.1,6.102,
34.2,6.103,
34.3,6.103,
34.4,6.104,
34.5,6.104,
34.6,6.105,
34.7,6.105,
34.8,6.106,
34.9,6.106,
35,6.107,
35.1,6.107,
35.2,6.108,
35.3,6.109,
35.4,6.109,
35.5,6.11,
35.6,6.11,
35.7,6.111,
35.8,6.111,
35.9,6.112,
36,6.112,
36.1,6.113,
36.2,6.113,
36.3,6.113,
36.4,6.114,
36.5,6.114,
36.6,6.115,
36.7,6.115,
36.8,6.116,
36.9,6.116,
37,6.117,
37.1,6.117,
37.2,6.118,
37.3,6.118,
37.4,6.118,
37.5,6.119,
37.6,6.119,
37.7,6.12,
37.8,6.12,
37.9,6.121,
38,6.121,
38.1,6.121,
38.2,6.122,
38.3,6.122,
38.4,6.123,
38.5,6.123,
38.6,6.123,
38.7,6.124,
38.8,6.124,
38.9,6.125,
39,6.125,
39.1,6.125,
39.2,6.126,
39.3,6.126,
39.4,6.126,
39.5,6.127,
39.6,6.127,
39.7,6.128,
39.8,6.128,
39.9,6.128,
40,6.129,
40.1,6.129,
40.2,6.129,
40.3,6.13,
40.4,6.13,
40.5,6.13,
40.6,6.131,
40.7,6.131,
40.8,6.131,
40.9,6.132,
41,6.132,
41.1,6.132,
41.2,6.133,
41.3,6.133,
41.4,6.133,
41.5,6.134,
41.6,6.134,
41.7,6.134,
41.8,6.135,
41.9,6.135,
42,6.135,
42.1,6.135,
42.2,6.136,
42.3,6.136,
42.4,6.136,
42.5,6.137,
42.6,6.137,
42.7,6.137,
42.8,6.137,
42.9,6.138,
43,6.138,
43.1,6.138,
43.2,6.139,
43.3,6.139,
43.4,6.139,
43.5,6.139,
43.6,6.14,
43.7,6.14,
43.8,6.14,
43.9,6.14,
44,6.141,
44.1,6.141,
44.2,6.141,
44.3,6.141,
44.4,6.142,
44.5,6.142,
44.6,6.142,
44.7,6.142,
44.8,6.143,
44.9,6.143,
45,6.143,
45.1,6.143,
45.2,6.142,
45.3,6.138,
45.4,6.132,
45.5,6.125,
45.6,6.117,
45.7,6.107,
45.8,6.095,
45.9,6.082,
46,6.068,
46.1,6.053,
46.2,6.037,
46.3,6.019,
46.4,6.001,
46.5,5.982,
46.6,5.962,
46.7,5.941,
46.8,5.92,
46.9,5.898,
47,5.875,
47.1,5.852,
47.2,5.828,
47.3,5.804,
47.4,5.779,
47.5,5.754,
47.6,5.729,
47.7,5.703,
47.8,5.677,
47.9,5.651,
48,5.624,
48.1,5.597,
48.2,5.57,
48.3,5.543,
48.4,5.515,
48.5,5.488,
48.6,5.46,
48.7,5.432,
48.8,5.405,
48.9,5.377,
49,5.349,
49.1,5.321,
49.2,5.293,
49.3,5.265,
49.4,5.237,
49.5,5.209,
49.6,5.181,
49.7,5.153,
49.8,5.125,
49.9,5.098,
50,5.07,
50.1,5.043,
50.2,5.015,
50.3,4.988,
50.4,4.96,
50.5,4.933,
50.6,4.906,
50.7,4.879,
50.8,4.853,
50.9,4.826,
51,4.8,
51.1,4.773,
51.2,4.747,
51.3,4.721,
51.4,4.695,
51.5,4.669,
51.6,4.644,
51.7,4.618,
51.8,4.593,
51.9,4.568,
52,4.543,
52.1,4.519,
52.2,4.494,
52.3,4.47,
52.4,4.446,
52.5,4.422,
52.6,4.398,
52.7,4.374,
52.8,4.351,
52.9,4.328,
53,4.305,
53.1,4.282,
53.2,4.259,
53.3,4.237,
53.4,4.214,
53.5,4.192,
53.6,4.17,
53.7,4.149,
53.8,4.127,
53.9,4.106,
54,4.085,
54.1,4.064,
54.2,4.043,
54.3,4.022,
54.4,4.002,
54.5,3.982,
54.6,3.962,
54.7,3.942,
54.8,3.922,
54.9,3.903,
55,3.883,
55.1,3.864,
55.2,3.845,
55.3,3.827,
55.4,3.808,
55.5,3.79,
55.6,3.772,
55.7,3.754,
55.8,3.736,
55.9,3.718,
56,3.701,
56.1,3.683,
56.2,3.666,
56.3,3.649,
56.4,3.633,
56.5,3.616,
56.6,3.6,
56.7,3.583,
56.8,3.567,
56.9,3.551,
57,3.535,
57.1,3.52,
57.2,3.504,
57.3,3.489,
57.4,3.474,
57.5,3.459,
57.6,3.444,
57.7,3.43,
57.8,3.415,
57.9,3.401,
58,3.387,
58.1,3.373,
58.2,3.359,
58.3,3.345,
58.4,3.331,
58.5,3.318,
58.6,3.305,
58.7,3.292,
58.8,3.279,
58.9,3.266,
59,3.253,
59.1,3.24,
59.2,3.228,
59.3,3.216,
59.4,3.204,
59.5,3.192,
59.6,3.18,
59.7,3.168,
59.8,3.156,
59.9,3.145,
60,3.133,
60.1,3.122,
60.2,3.113,
60.3,3.106,
60.4,3.101,
60.5,3.097,
60.6,3.096,
60.7,3.095,
60.8,3.097,
60.9,3.099,
61,3.103,
61.1,3.108,
61.2,3.115,
61.3,3.122,
61.4,3.13,
61.5,3.14,
61.6,3.15,
61.7,3.161,
61.8,3.172,
61.9,3.185,
62,3.198,
62.1,3.212,
62.2,3.226,
62.3,3.241,
62.4,3.256,
62.5,3.272,
62.6,3.288,
62.7,3.304,
62.8,3.321,
62.9,3.338,
63,3.356,
63.1,3.373,
63.2,3.391,
63.3,3.409,
63.4,3.428,
63.5,3.446,
63.6,3.465,
63.7,3.484,
63.8,3.502,
63.9,3.521,
64,3.54,
64.1,3.56,
64.2,3.579,
64.3,3.598,
64.4,3.617,
64.5,3.636,
64.6,3.656,
64.7,3.675,
64.8,3.694,
64.9,3.713,
65,3.733,
65.1,3.752,
65.2,3.771,
65.3,3.79,
65.4,3.809,
65.5,3.828,
65.6,3.847,
65.7,3.866,
65.8,3.884,
65.9,3.903,
66,3.921,
66.1,3.94,
66.2,3.958,
66.3,3.976,
66.4,3.995,
66.5,4.013,
66.6,4.031,
66.7,4.048,
66.8,4.066,
66.9,4.084,
67,4.101,
67.1,4.119,
67.2,4.136,
67.3,4.153,
67.4,4.17,
67.5,4.187,
67.6,4.204,
67.7,4.22,
67.8,4.237,
67.9,4.253,
68,4.27,
68.1,4.286,
68.2,4.302,
68.3,4.318,
68.4,4.334,
68.5,4.349,
68.6,4.365,
68.7,4.38,
68.8,4.396,
68.9,4.411,
69,4.426,
69.1,4.441,
69.2,4.455,
69.3,4.47,
69.4,4.485,
69.5,4.499,
69.6,4.513,
69.7,4.528,
69.8,4.542,
69.9,4.556,
70,4.569,
70.1,4.583,
70.2,4.597,
70.3,4.61,
70.4,4.624,
70.5,4.637,
70.6,4.65,
70.7,4.663,
70.8,4.676,
70.9,4.689,
