Time - T(t),Amplitude - T(t),
0,25,
0.1,25.1,
0.2,25.21,
0.3,25.32,
0.4,25.43,
0.5,25.55,
0.6,25.68,
0.7,25.8,
0.8,25.93,
0.9,26.07,
1,26.2,
1.1,26.34,
1.2,26.48,
1.3,26.62,
1.4,26.76,
1.5,26.91,
1.6,27.05,
1.7,27.19,
1.8,27.34,
1.9,27.48,
2,27.63,
2.1,27.77,
2.2,27.92,
2.3,28.06,
2.4,28.2,
2.5,28.35,
2.6,28.49,
2.7,28.63,
2.8,28.77,
2.9,28.91,
3,29.05,
3.1,29.19,
3.2,29.32,
3.3,29.46,
3.4,29.59,
3.5,29.72,
3.6,29.86,
3.7,29.99,
3.8,30.11,
3.9,30.24,
4,30.37,
4.1,30.49,
4.2,30.61,
4.3,30.73,
4.4,30.85,
4.5,30.97,
4.6,31.09,
4.7,31.2,
4.8,31.31,
4.9,31.42,
5,31.53,
5.1,31.64,
5.2,31.75,
5.3,31.85,
5.4,31.96,
5.5,32.06,
5.6,32.16,
5.7,32.26,
5.8,32.36,
5.9,32.45,
6,32.55,
6.1,32.64,
6.2,32.73,
6.3,32.82,
6.4,32.91,
6.5,33,
6.6,33.08,
6.7,33.17,
6.8,33.25,
6.9,33.33,
7,33.41,
7.1,33.49,
7.2,33.57,
7.3,33.65,
7.4,33.72,
7.5,33.8,
7.6,33.87,
7.7,33.94,
7.8,34.01,
7.9,34.08,
8,34.15,
8.1,34.21,
8.2,34.28,
8.3,34.34,
8.4,34.41,
8.5,34.47,
8.6,34.53,
8.7,34.59,
8.8,34.65,
8.9,34.71,
9,34.77,
9.1,34.82,
9.2,34.88,
9.3,34.93,
9.4,34.98,
9.5,35.04,
9.6,35.09,
9.7,35.14,
9.8,35.19,
9.9,35.24,
10,35.28,
10.1,35.33,
10.2,35.38,
10.3,35.42,
10.4,35.47,
10.5,35.51,
10.6,35.55,
10.7,35.6,
10.8,35.64,
10.9,35.68,
11,35.72,
11.1,35.76,
11.2,35.8,
11.3,35.84,
11.4,35.87,
11.5,35.91,
11.6,35.95,
11.7,35.98,
11.8,36.02,
11.9,36.05,
12,36.08,
12.1,36.12,
12.2,36.15,
12.3,36.18,
12.4,36.21,
12.5,36.24,
12.6,36.27,
12.7,36.3,
12.8,36.33,
12.9,36.36,
13,36.39,
13.1,36.42,
13.2,36.45,
13.3,36.47,
13.4,36.5,
13.5,36.52,
13.6,36.55,
13.7,36.57,
13.8,36.6,
13.9,36.62,
14,36.65,
14.1,36.67,
14.2,36.69,
14.3,36.71,
14.4,36.74,
14.5,36.76,
14.6,36.78,
14.7,36.8,
14.8,36.82,
14.9,36.84,
15,36.86,
15.1,36.88,
15.2,36.9,
15.3,36.92,
15.4,36.94,
15.5,36.95,
15.6,36.97,
15.7,36.99,
15.8,37.01,
15.9,37.02,
16,37.04,
16.1,37.06,
16.2,37.07,
16.3,37.09,
16.4,37.1,
16.5,37.12,
16.6,37.13,
16.7,37.15,
16.8,37.16,
16.9,37.18,
17,37.19,
17.1,37.21,
17.2,37.22,
17.3,37.23,
17.4,37.25,
17.5,37.26,
17.6,37.27,
17.7,37.28,
17.8,37.29,
17.9,37.31,
18,37.32,
18.1,37.33,
18.2,37.34,
18.3,37.35,
18.4,37.36,
18.5,37.37,
18.6,37.38,
18.7,37.4,
18.8,37.41,
18.9,37.42,
19,37.43,
19.1,37.43,
19.2,37.44,
19.3,37.45,
19.4,37.46,
19.5,37.47,
19.6,37.48,
19.7,37.49,
19.8,37.5,
19.9,37.51,
20,37.51,
20.1,37.52,
20.2,37.53,
20.3,37.54,
20.4,37.55,
20.5,37.55,
20.6,37.56,
20.7,37.57,
20.8,37.58,
20.9,37.58,
21,37.59,
21.1,37.6,
21.2,37.6,
21.3,37.61,
21.4,37.62,
21.5,37.62,
21.6,37.63,
21.7,37.64,
21.8,37.64,
21.9,37.65,
22,37.65,
22.1,37.66,
22.2,37.67,
22.3,37.67,
22.4,37.68,
22.5,37.68,
22.6,37.69,
22.7,37.69,
22.8,37.7,
22.9,37.7,
23,37.71,
23.1,37.71,
23.2,37.72,
23.3,37.72,
23.4,37.73,
23.5,37.73,
23.6,37.74,
23.7,37.74,
23.8,37.74,
23.9,37.75,
24,37.75,
24.1,37.76,
24.2,37.76,
24.3,37.76,
24.4,37.77,
24.5,37.77,
24.6,37.78,
24.7,37.78,
24.8,37.78,
24.9,37.79,
25,37.79,
